participant_id	participant_orig	Index_orig
S001	MT0983	131
S002	MT02300	105
S003	MQ0694	29
S004	MQ0839	43
S005	MT0940	126
S006	MQ0169	6
S007	MQ0913	58
S008	MT0967	127
S009	MT0987	133
S010	MT02522	109
S011	MT01115	87
S012	MQ0687	28
S013	MT0939	125
S014	MQ059	22
S015	MT0990	134
S016	MT01054	77
S017	MT0969	128
S018	MQ01213	1
S019	MT01066	80
S020	MQ0891	56
S021	MT02542	112
S022	MT01020	71
S023	MQ0318	17
S024	MT01129	89
S025	MT01162	91
S026	MT01093	84
S027	MQ0227	9
S028	MQ0770	34
S029	MQ0717	31
S030	MT0982	130
S031	MQ0579	21
S032	MT0976	129
S033	MT02541	111
S034	MT02214	100
S035	MT02543	113
S036	MQ0663	24
S037	MQ0865	47
S038	MQ0875	51
S039	MT02567	114
S040	MT01005	69
S041	MT01209	94
S042	MT02667	117
S043	MT02682	118
S044	MT0937	123
S045	MQ0935	59
S046	MT01118	88
S047	MQ0964	65
S048	MQ0288	14
S049	MT02373	108
S050	MT02350	107
S051	MQ0845	44
S052	MT01063	79
S053	MT01017	70
S054	MT02252	101
S055	MQ0293	15
S056	MQ0619	23
S057	MQ0959	63
S058	MT01210	95
S059	MQ047	19
S060	MT02683	119
S061	MQ0864	46
S062	MT0984	132
S063	MQ0228	10
S064	MT02598	115
S065	MQ0806	40
S066	MT01050	75
S067	MQ0714	30
S068	MQ0310	16
S069	MT02666	116
S070	mt02351	138
S071	MT02197	99
S072	MQ0832	42
S073	MQ0163	5
S074	MQ0876	52
S075	MQ0780	37
S076	MT01053	76
S077	MT02192	98
S078	MT0995	135
S079	MQ0856	45
S080	MQ0554	20
S081	MQ0905	57
S082	MT02684	120
S083	MT01104	86
S084	MQ0936	60
S085	MQ0882	55
S086	MQ0680	27
S087	MT01095	85
S088	MT02349	106
S089	MT02148	96
S090	MT02253	102
S091	MQ0276	12
S092	MT01133	90
S093	MQ01225	2
S094	MT02299	104
S095	MQ0139	3
S096	MT0869	122
S097	MQ0831	41
S098	MQ0324	18
S099	MQ0960	64
S100	MT01069	82
S101	MQ0675	26
S102	MT01021	72
S103	MQ0666	25
S104	MQ0195	8
S105	MQ0775	35
S106	MQ0938	62
S107	MT02523	110
S108	MT01186	93
S109	MQ0867	49
S110	MT0938	124
S111	MT02169	97
S112	MQ0277	13
S113	MQ0872	50
S114	mq0188	136
S115	MT01000	68
S116	MQ0880	53
S117	MQ0143	4
S118	MT01088	83
S119	MT01028	73
S120	MQ0792	38
S121	MT02292	103
S122	MQ0776	36
S123	MT01179	92
S124	MT01068	81
S125	MT01057	78
S126	MT01046	74
S127	MQ0190	7
S128	MQ0881	54
S129	MQ0937	61
S130	MQ0866	48
S131	MQ0755	32
S132	MQ0793	39
S133	MT02702	121
S134	MQ0965	66
S135	mq0871	137
S136	MQ0758	33
S137	MQ0244	11
S138	MQ0981	67
